"No.","Time","Source","Destination","Protocol","Length","Info"
"150","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=52529 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"151","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=53065 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"152","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=53601 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"153","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=54137 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"154","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=54673 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"155","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=55209 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"156","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=55745 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"157","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=56281 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"158","6.559279","10.200.251.252","23.227.142.154","TCP","54","55620  >  80 [ACK] Seq=229 Ack=56817 Win=65535 Len=0"
"159","6.559405","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=56817 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"160","6.559405","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=57353 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"161","6.559405","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=57889 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
